user,review_title,review,date
WayneB1990,Great place,"Nice little place, rooms are basic but clean and have everything you need. Staff are very friendly. The kitchen area could do with improving. Great location a few minutes walk to the beach, much nicer than staying in central Colombo.",Date of stay: January 2020
Janina00000,,,
Emilia and Johann,Nice and helpful Staff,"The food in the restaurant was good and at a reasonable price and the Staff was very friendly and helpful. The only downside is, that, even though the beach is close, we felt unconfortable to go in the water in bikini, as there were only men and it felt weird, being the only woman",Date of stay: October 2019
daxstutz,"Unreasonable, Rude, Greedy Manager","I stayed here when the hostel was completely empty, and decided to shorten my stay.  The manager absolutely refused to allow me to shorten it, and insisted I pay for an extra 2 nights that I would not even be staying (even though the place was literally empty so there's zero chance I was taking away the opportunity for other customers to stay). He was rude, unreasonable, and downright greedy.  The neighbourhood is also rather unsafe. I had someone threaten me on the beach and shake me down for money.   I will say the staff is very kind, it's just a shame the manager is such an unreasonable man. Avoid this place, if you can.",Date of stay: October 2019
Carmen M,Excellent place,"I enjoyed my time at this hostel. It was very clean, the staff was super, and the roof top with sofas, kitchen and garden was a plus. I even stayed at their other hostels.  The owner helped me to arrange and plan other destinations in Sri Lanka and left me keep my bag at the hostel for free while I toured the country. I highly recommend this place.",Date of stay: September 2019
Charlotte F,Hidden Away Hostel in Mt. Lavinia,My favorite things about this hostel were the rooftop and the staff. The kitchen on the roof meant I could cook my own food when I felt like it (healthy choices and saving money) and the common space there was relaxing and beautiful. Dorms were basic but comfortable. Travis and Shiromi and Dinesh were wonderful hosts. They helped my with whatever I needed and gave me lots of good info and travel tips for my time in Sri Lanka. The hostel was very close to the beach and I walked there every day. Easy bus ride into Colombo city.,Date of stay: September 2019
Julien M,Sooooo nice !!!,"Top place, top team & top terrace ! The Barnes Garden Cafe provides you a big choice of food/drinks, delicious and cheap. DonÕt hesitate to go there ! Thanks again Denish & your team for your welcoming ! Julien & Maxime from Belgium ____",Date of stay: September 2019
Mizundahstood,Terrible service,"Horrible neighborhood, and terrible service... Staff was NOT helpful and safety was questionable. Had a terrible experience being a solo traveller and the neighborhood was shady and I didn't feel at all safe.",Date of stay: October 2019
Emily,VERY DIRTY!!,Sadly really dirty beds and all quite run down! The building is old so everything is a little dusty and the beds were a real overcoming to sleep in.   Go to lavinia beach hostel if youre looking for a clean nice stay!,Date of stay: August 2019
Aussie Shane,"Friendly Staff, Cool Rooftop","I stayed at the Colombo Beach Hostel for 4dayd while i explored Colombo. The staff were so hospitable and helpful. I arrived at 2am and the Manager woke up and kindly opened the locked gate and accommodated me. The rooms are clean and comfortable. It is well located, making it convenient to travel to the city and train staion. Will definitely return.",Date of stay: April 2019
Phantom s,Stay away,"Where do I start. Okay full disclosure, here goes. I am Sri Lankan and I came to Colombo and wanted a place to stay for one night, before I headed to India the following day, so I came to this place which honestly by the looks of it wasn't that special, gave me the impression that this was one of those typical hostels where people started it just because everyone else is doing it in Sri Lanka. It's a trend thing. When one person has a bit of success with a hostel, everyone in Sri lanka wants a piece of that pie. Anyways, so I came and asked the old man whose was at the desk whether I can stay for one night and if their are any dorms available? To which he responded saying yes and assumed I was Indian and asked me ""are you from India""?(typical Sri Lanka mindset), naturally I",Date of stay: March 2019
Jakob,Vacation,Really nice place!  Good chilliing area on the roof nice vibes and so close to the beach.  Price value is perfect and the staff is just super friendly and really welcoming.  Bandara is best man always good to chill with and will do everything to make you happy!!,Date of stay: February 2019
Stroopwafel53,A great place to stay in Colombo!,"I stayed here twice for two days each time and had a great experience. Beds and bathrooms are good but the highlight is the wonderful rooftop terrace where I usually got to know other guests in the evening over a beer, good talks or a game of cards. It is also very close to the beach. The staff was super nice and helps you to plan your time in Sri Lanka with great recommendations. While you cannot eat food from the hostel there is a very good (although slightly expensive) pizzeria on the ground floor and many restaurants are on the main street nearby. Will come back if I'm in Colombo again!",Date of stay: December 2018
Natalierosefearn,Okay for one night,The rooftop social area was good and the location to the beach. However there was a rat and red ants in the kitchen and the private room only had a fan whilst the dorm rooms had A/C even though the private room was more expensive.,Date of stay: March 2019
Kris_Toor,Great place,"This place has everything that one can ask from a hostel, but the most important it has the staff. I booked one night I ended up staying like 6 nights. In low season they are super flexible so if at 5 pm suddenly you decide that you want to sty they will welcome you with open arms. I booked 8 people room it was full got free upgrade to 4 people, and the second time even ac 6 people alone room coz no one was there. When I came i felt like at family home! They all will ask you how are you what did you do and ho was your day. In common area on the rooftop you can always get interesting people. Must stay in Mt. Lavinia",Date of stay: January 2019
Raghu V,Great hostel with great price,My first visit to srilanka and staying in this hostel my very first day made my entire srilanka trip very awesome.. The host bandaru was amazing and super chilled.. I can say this is the best hostel with amazing rooftop and very closer to mount lavinia beach..,Date of stay: December 2018
benjamin c,Very good hostel,"ItÕs was a very nice hostel, clean and cheap. Also you have a kitchen available, you can cook your own food. Bandara is very friendly and awesome man . He is always here to help you, for your traveling or for another question. he is also amazing cookers , you can cook with him and learn Sri Lanka dishes . I recommend this hostel in Colombo.",Date of stay: December 2018
AngeChandrasekeran,,,
Celia B,,,
Solgunn86,,,
Jan H,Colombo beach hostel and Kandy city view,"I stayed in both the above hostels. They have a small chain with another one south of Galle and offer a reduction if you're moving on. Fantastic sociable way to meet people. Rooms were great. Nice breakfast optional extra. Use of kitchen facilities. Very clean, but above all were the hard working friendly staff. If I had one fault it would the total lack of time off for these guys who even give up their beds for unexpected travellers. I think the owner should take note ..... Good staff are hard to come by, so, more time off and a bonus please boss!",Date of stay: February 2018
MTB-Worldwide,Budget hotel close to the beach,"If you need to be close to the city and next to a beach then Mt Lavinia is the place to be! Colombo Beach Hostel is a budget hotel 5 minutes walk from the beach. The rooms are basic, but clean and big and the roof top is a nice place to chill out in the sun or under shade. Plenty of places close by right on the beach front to eat at.",Date of stay: January 2018
lubie_placki,Not cool,"The hostel is alright, standard for a price. Close to the beach  (albeit the beach itself it not that great) but if you come to Colombo only for a day, it's pretty far away from the city/bus station/airport.  Staff seemed nice, but my main issue is that I left a personal item (of small value actually) on my bunk bed when I checked out and noticed that only on my way to another city. I quickly messaged them whether they found out but they ""did not"". In the dorm room there were only my friends so none of them took it for sure.  Kind of sad that they ""could not find it"".   So just be careful with your stuff at the property.",Date of stay: January 2018
ecmf27,"Clean, tidy, friendly",Clean and tidy room. We stayed in a 4 bed (2 bunk bed) ensuite room for one night before travelling on (plenty for us in Colombo). The staff were all friendly and helpful and happy to point us in the right direction and sort tuktuks etc.,Date of stay: January 2018
jumaanimerawi,right on the beach,"clean hostel, great atmosphere and the bloke that runs the show (rod) is a legend.  we had rooftop for chills with good kitchen attached. no sketchy dogs in the ally ways that surround the hostel so no fear of being bitten by a mongrel dog.  Happy days :)  lots of love jumaa and alex from aus.",Date of stay: December 2017
Erik v,Overall nice,"The rooftop bar is really nice and the location 100 meters from the beach. Beds are fine (dorm room for 8 people). Breakfast is basic (not included), but good if you don't want to search for  something else. Overall good for money.",Date of stay: December 2017
Sean_higgins1996,Awesome hostel!,"Great hostel to stay at for sure, great vibes in the common area on rooftop, clean everywhere throughout the hostel. Cooking facilities are good, staff are friendly and very helpful. Will definitely recommend this place to friends.",Date of stay: December 2017
Amy A,"Lovely, welcoming hostel","Me and a friend stayed here as our first stop in Sri Lanka for 2 nights. The manager was very friendly and the volunteers were super helpful. The hostel was clean, well-equipped (the free coffee was a life saver) and fun to stay at. The roof terrace made it for us, really cool hang out place where we met the other travellers in the hostel.   The only con is that the area is a little boring, mainly hotels and main roads. The beach wasn't the best either, but the hostel was the perfect place to hang out and acclimatise.",Date of stay: November 2017
michaela j,Awesome!,"Spent my first few days in Sri Lanka in there and then came back for my last 2 days as I loved it so much!   Colombo beach hostel is a really nice hostel in Mount Lavinia a few meters from the beach. The rooms are nice, there's free coffe&tea&filtered water, good wifi and amazing rooftop where you can hang out and meet fellow travellers.   Dinesh, owner and Rodney, manager are so nice and welcoming that you feel at home straight away. They are great to talk to and help you plan your perfect stay in Sri Lanka. The hostel has its sister hostels in Kandy and Mirissa, I have visited both of them and can strongly reccommend them all :)   In the evenings we would have these amazing cooking classes with Rodney where he would show us how to prepare real Sri Lankan food like rice&curry,",Date of stay: November 2017
matthiasboxheimer,"A home, far away from home","We stood there for two nights and were really happy. They have an shuttle from the airport, the rooms are clean and the stuff is helpful. To sit on the rooftopterrace and have a beer was great. Really high recommendable",Date of stay: September 2017
loralorent,Basic AF but owner very welcoming and wonderful rooftop terrace makes it all worth it,"I had a layover in Sri Lanka so utilised it by exploring the city. I arrived later at night to the hostel than anticipated, and Michael the owner had upgraded my room for free as the dorm I'd picked was overbooked. If it was indeed upgraded, I hate to think what the dorm I picked looked like. Room was great, spacious but very basic, and I was so lucky to be the only person in there as it was sweltering so I had the only fan aimed directly at me all night and it was still muggy as. Didn't have any problems with any mosquitos however. Shower was cold but you seriously don't want a hot or even warm shower in those rooms let alone the whole of Sri Lanka. Michael was so wonderful and really made me feel safe and welcome. The roof top terrace is the kicker! Would 100% recommend this",Date of stay: May 2017
true s,Friendly stuff,"The hostel stuff is friendlyand the hostel is very close to the beach and you have many possibilities to find food what ever you like. The room is ok not the cleanest but allright for the cheap prices. The bad thing is you have no real night life for tourists and it is quite dangerous at night to walk around. But if you look for a cheap price its ok. The roof top is very nice and chilled, but there a lot of mosqitos flying around.",Date of stay: April 2017
Laura D,Very basic,"We stayed here two nights at the beginning of our trip. The rooms and facilities are very basic. The bedding was dirty, the pillows needed to be replaced, and we were only provided with one sheet. The bathroom also had cockroaches. The dorm room with a fan is uncomfortably warm at night and there are lots of mosquitos. However, the location is great and they do have a nice common area on the roof. Overall, for budget travellers this place is great. However, if you have extra money to spend I would recommend going somewhere more comfortable.",Date of stay: March 2017
Yoare,Okay place!,"Stayed here for one night on the day of my arrival in Sri Lanka. Really basic hostel, okay for one night. Stayed in a mixed dorm, feels a bit old but was clean. Bed was okay but you need mosquito net which is there. Bathroom and toilet really basic. They have a community kitchen and lounge on the rooftop. Management was friendly. It's about 1 hour drive from airport cost +/- 15 euro. Location is good, near beach, plenty of restaurants and supermarkets and near train station, so easy if you want to go south.",Date of stay: February 2017
Pankti Shah,A mesmerizing place to stay,"This is one of the best hostels to stay for backpackers as you can have a perfect start to your exploration of Sri Lanka. Amenities such as beach restaurants, bars, banks and coffee shops are located within a very close proximity.   A best place to have a relaxing time unwind with new friends.",Date of stay: June 2016
Bernard M,No top bed sheet?,Only bed sheet to cover mattress. Shower was Luke warm at best. Facilities were clean and tidy. Well kept. Receive a page of things to do in the area on arrival as well which helps. The kicker here is the rooftop kitchen area where you can make yourself food/drink and socialise with other guests. Was a great atmosphere and really relaxing to spend time up there.,Date of stay: January 2017
Theres H,4 night at the hostel,"We arrived in the middle of the night, there was only a boy in the ""reception"" who didn't speak English. He had problems to find our booking. After awhile he went to get his father, I presume. He find the booking, but it was registered on wrong name. The room was okey, it had a fan and worked for a couple of days. However it was not so clean and the toilet was loose. The first impression was not so great, but after some days the overall impression was okey. The manager was friendly and helpful and he could speak English. They have a nice rooftop where you can make your own food.",Date of stay: December 2016
Ricardo N,Brilliant hostel,"Probably one of the best hostels I have stayed in in a while. Friendly staff. Great social area and good location. Wifi is good as well. Just what you need from a hostel. Very close to beach and supermarket. Going back, can't wait. And have to give a shoutout to Michael.",Date of stay: November 2016
Dani V,,,
Nadia D,Great hostel,"We really enjoyed our stay at the hostel. Michael was so lovely and really looked after us while we were there. The private room we had was great and the rooftop chillout space is tops (with kitchen, couches and hammocks)!",Date of stay: October 2016
Alan C,Decent 3 night stay on first arrival into Sri Lanka.,"Chose to stay here rather than in centre of Colombo, turned out good call for me. Room was very basic but clean, shower functional, fan worked but it was hot, hot, hot! I live in central Thailand so not a stranger to heat but I found it sticky at night ( visited March 2016). You can zip along to the local train station and jump on a train to the heart of Colombo, tickets very very cheap and you are in the heart of Colombo in 20-30 mins, perfect. Hostel is situated max 10 mins walk to beach, beach has restaurants / bars etc. I had a few superb meals along the stretch of beach nearest the hostel. Bit of a walk to nearest convenience store, I couldn't find any handy, handy. Beach is clean as beaches go, nothing special for me but fine.  Hostel has a great common area on the roof",Date of stay: March 2016
Noel C,CBHome away from Home,"Gentleness ..... the first thing that comes to mind!  Despite the total Roughness of the Indian Ocean it is the kindness of Michael and his great staff and team that sooths. That fantastic RoofGarden ....Wow! Does anyone wants go  Dance upon the Roof!!! Even the cat does its share of making you feel at home....coming to your dorm door to say Hi and Bye. Clean, safe and most helpfull with every and any matter. 9 out  of 10! Must go back and see if i did not forget anything for a 10! :-) CBH matches Sri Lanka like no other. Yes....also the timely answering of emails, always constructive and friendly. Yess, definately 10 out of 10 No need to return.....but I will!",Date of stay: September 2016
cdroux,Spacious and relaxing!,"What a lovely way to end our holiday! Spacious and clean rooms with basic white bedding & big en- suite bathrooms. Keep in mind that this is a hostel - so no guesthouse benefits like bottled water or extra bedding. Very well priced - the host organized our transport to the airport the next day and allowed us to enjoy the day to the fullest and keep our bags safely in his foyer until departure. Amazing rooftop area for relaxing & for sunset drinks! Had a great stay and can highly recommend. Restaurants, the beach and other hotels just around the corner! Great for couples & groups of friends!",Date of stay: September 2016
KyleMcGee,"Nice guest house.. Little pricey, but nice service and vibe","I came to this place after seeing some reviews online. The staff was always great and they have a nice lounge area upstairs. They let me keep some things there for 2 months while I traveled around. I was a little worried, but everything was safe and sound when I returned. Great folks!",Date of stay: September 2016
Matthew B,Amazing place!,"Stayed in Colombo for 8 weeks whilst doing a placement and stayed in this hostel the entire time we were there!  Location: Located in Mount Lavina just south of the city centre. It's right on the beach which has numerous bars and restaurants. It has good links to other cities as near to the train station and the main road for buses.  Facilities: The only place we stayed in Sri Lanka with a kitchen which is good for when you want some home cooked Western food. An amazing, colourful rooftop terrace for chilling on. Stayed in a private room which was nice for the price!  Atmosphere: It was not uncommon for the hostel to be full as it was a place people came to at the start of their trip and when they came back around so it was good to pick up some tips for your travels along with",Date of stay: June 2016
James R,Out of the city,"Overall a great place to stay. Micheal the manager was extremely helpful, location isn't very central but still right on the beach and with lots of food places around and easy train or bus into town. Would definitely stay again.",Date of stay: August 2016
ankitbhat92,Not too bad,"The hostel is located in Mt. Lavinia which is quite far to the south of Colombo and the airport is to the north of Colombo. Hence it takes a long time to travel to and from the airport. Place was in need of some changes. The bathrooms were very small and not very well lit. Wifi only works on the rooftop. But, it is just of the beach of Mt Lavinia which is great. Besides, for that price point it is not fair to complain a lot.",Date of stay: February 2016
matthewgaskin,Great intro to Sri Lanka,"Stayed for the first 3 nights in Sri Lanka, Michael was very helpful and welcoming. The rooms are basic but all you need for exploring Mt Lavinia and Colombo. NB: though the hostel is not in Colombo you can catch a 20 min train to Colombo Fort along the coast for pennies. Roof garden is lovely, lots of options for food in surrounding area and literally 2 minutes from the beach.",Date of stay: July 2016
Ross C,"not great, but not bad for the price","not quite as pretty as the pictures, but functional! very helpful in changing room when we found bugs in our bed. fan is good at making a breeze in the room, but not quite AC.  close to the beach and plenty of tuktuks around. no hot water, but didn't need it in the heat!! has free wifi, which was alright, but cut out regularly.",Date of stay: July 2016
HarpsTravels,,,
tomryan2431,very helpful staff,Great place to stay first time sri lanka as the staff are very friendly and helpful. No problem telling you the best way to get around. Also has a nice roof top bar to chill and meet fellow travellers.,Date of stay: June 2016
euroangelo,Convenient stop on the Southern edge of Colombo,The hostel is ok for a night or so. The bed could be more comfortable as it has no sheets you can put over you and the mosquito net tends to fall on you a bit towards the edged of the bed. Wifi is also hit or miss. The location is very convenient to Mt Lavina beach and there are plenty of restaurants just a short walk away.,Date of stay: June 2016
Chasams C,,,
Mel R,Good for a night or two,"Hostels appear to be few and far between in Sri Lanka so this is a good find in a nice location. Michael who runs the place is very kind and helpful. The dorm room we stayed in, while spacious, was incredibly hot. They need to invest in air conditioners. The kitchen is very basic, okay for making breakfast or a salad but not much else. Bathroom was okay although we had issues with shower constantly dripping. Rooftop area is really nice and the location is ideal. Not too far from the airport so a good spot to spend your first night or two after you arrive.",Date of stay: May 2016
Noelle P,Fab find,"A great price and location. The beach is just a few minutes walk away and the roof terrace is a perfect place to chill out during the heat of the day. The hosts helped us with everything we needed, up to and including an airport transfer.",Date of stay: April 2016
Yeara S,,,
Marko S,Good place to start your trip,"Close to the beach , nice rooftop and helpful information Staff is helpful, friendly and theres a lot of arriving backpackers to talk to and make plans for your travels The rooms are all in all okay and make sure to take mosquito repellant with you",Date of stay: March 2016
Schoscha85,,,
Powee1,A good first stop!,We stayed at this hostel straight from the airport and for two first time travellers it was perfect. Michael (host) was very helpful in giving us directions and tips about travelling Sri Lanka. The upstairs communal area was chilled and had good wifi and we met other travellers there. Beach and restaurants very close and lots of other things to do round Colombo. Great breakfast place just next door and easy to get tuk tuks everywhere. Only issue is that the heat of the room but this made the cold shower very refreshing.,Date of stay: March 2016
kassimati,A good place to explore Colombo and continue your journey onwards,"Stayed 3 nights, 2 in the dorm and one in the private room. Place was clean and the owner very friendly. It is a bit expensive for Sri Lankan standards but not for Colombo. For a similar level place in the center you have to pay at least double. To get to the city you can either take a tuktuk or the local bus (dirty cheap) or take the train. The train ride itself is a thing to experience in Sri Lanka plus the tracks run beside the ocean. Plus, with the train there is no traffic. Colombo has unbelievable traffic so avoid the rush hours as it might take you 10 minutes to get 100 meters. And this is a daily thing. The hostel is a long way from the airport so take that into consideration. If you are heading south, the Mt Lavinia trainstop is abt 2km away, reachable by tuktuk so the",Date of stay: February 2016
Lydia B,"Not clean, expensive",- Room was not clean (dirty and old sheets and towels)  - it was very hot during the nighttime (fand did not help out) + good location in Mount Lavinia: 300m walk to the beach + Rooftop terrace + Friendly and helpful staff,Date of stay: March 2016
Namasteista,,,
voodoopol,Not the best offer in the town....,"THE BAD: We booked here and I may say I don«t know exaclty why.. I guess just because budget. The thing is the place is not specially nice, not a beautiful location, surroundings or anything. Neither the rooms are nice. No AC rooms so.. mega hot inside. The manager try to be helpful but somehow he is not the most funny and smiling guy. They talk about their terrace as if were an amazing place, well is not, nothing to see around. I guess just by providing a little fridge with drinks you could improve the ""terrace experience"". No, they don«t sell beer.   THE GOOD: Just 2 min walking to the beach where you can find interesting places to have food, drinks..",Date of stay: February 2016
Shauns277,"Good hostel, not quite Colombo.","Despite the name this hostel is about 30mins away from central Colombo. It is a very nice area however it lacks culture and local businesses. I found it to be too tourist orientated (Mt Lavinia, not the hostel)  When I stayed at Colombo Beach the wifi wasn't working but the owners were trying to find a better solution. The rooftop area is a fantastic place to relax at the end of the day and meet fellow travellers... It had a very social vibe. It was also nice to be so close to the beach.",Date of stay: February 2016
Gehan W,Great place to meet fellow travelers.,"The staff was very friendly and helpful, with tips on how to get to my next destination, around town and arranging a cheap taxi to the airport.  The roof top was a great place for meeting other guests.",Date of stay: January 2016
Louisa Rose S,Not As Advertised,"We stayed here for 2 nights after arriving in Sri Lanka, and while we've stayed in much worse places this hostel really disappointed us, mainly due to the attidude of the manager Michael - unhelpful and arrogant. But for the price it's ok if you just need a bed for a night or 2.  Pros - clean-ish, big bed and nice lighting (in double room),   Cons - much further from the airport than described, roof terrace a bit shabby, 'free' drinking water not available, poor advice given, had to ask for bed sheets, lots of 'rules' to stick to - including an 11.30pm curfew which seemed totally inappropriate for a 'city' hostel.",Date of stay: January 2016
Julie D,Nice Hostel in Colombo,"Nice hostel in Colombo, very good welcome from the staff and Nice advices from the team. Bedroom ok, equipped with the bathroom and toilets, 200m to reach the Beach, with many bars and restaurants. Very Nice toof top to relax and have a drink! Need between 30min and 1h to reach colombo city center by the bus. (according to the traffic jam!)organizes some taxi or tuk tuk for the place u need to go!  Thanks again!",Date of stay: January 2016
Sannia A,Nice Hostel!,Great location and a nice hostel. Best thing about the hostel is its helpful staff specially Micheal who went out of his way to help me when I was not happy with my room. I feel rooms and toilets could be more cleaner but it all depends on the people staying in hostel otherwise the hostel is trying its best to keep it clean. Great rooftop and kitchen BTW!!!,Date of stay: July 2015
Amesx,"Clean hostel dorm, 3mins from the beach","Stayed here for 1 night upon arrival after reading all the rave reviews. The spacious dorm rooms and beds are clean. Common bathroom and toilets are also clean. Only have one problem to highlight which is that the 8-bedded dorm only has 1 ceiling fan and one tiny opening of a window. Air circulation is really bad, and it gets too hot and stuffy at night and you're literally soaking in sweat trying to get some shut eye. The side windows are sealed shut, it'll be better if there were more windows. It is otherwise a nice place with a roof top kitchenette and common area.",Date of stay: December 2015
Flora C,,,
Florie L,Awesome hostel !,"What an amazing place very friendly great roof, rooms really clean And spacious 100m from beach And an amazing staff !! So helpfull always here to advise And help you ! Highly recommanded !! The prices are Nice and it is a perfect place to meet other travellers !",Date of stay: October 2015
